Index,Brand,Variety,Style,Country,Rating,Year,Rank
1828,Tseng Noodles,Scallion With Sichuan Pepper  Flavor,Pack,Taiwan,5,2016,9
1925,Prima,Juzz's Mee Creamy Chicken Flavour,Pack,Singapore,5,2016,8
1689,Wugudaochang,Tomato Beef Brisket Flavor Purple Potato Noodle,Pack,China,5,2016,7
1907,Prima Taste,Singapore Curry Wholegrain La Mian,Pack,Singapore,5,2016,5
1964,MAMA,Instant Noodles Coconut Milk Flavour,Pack,Myanmar,5,2016,10
1947,Prima Taste,Singapore Laksa Wholegrain La Mian,Pack,Singapore,5,2016,1
1521,Maruchan,Gotsumori Sauce Yakisoba,Tray,Japan,5,2015,9
1466,Mama,Oriental Style Instant Noodles Green Curry Flavour Jumbo Pack,Pack,Thailand,5,2015,8
1617,MyKuali,Penang Hokkien Prawn Noodle (New Improved Taste),Pack,Malaysia,5,2015,7
1508,Mamee,Chef Gold Recipe Mi Kari Seribu Rasa,Pack,Malaysia,5,2015,6
1585,CarJEN,Nyonya Curry Laksa,Pack,Malaysia,5,2015,4
1638,A-Sha Dry Noodle,Veggie Noodle Tomato Noodle With Vine Ripened Tomato Sauce,Pack,Taiwan,5,2015,10
1500,MyKuali,Penang Red Tom Yum Goong Noodle,Pack,Malaysia,5,2015,1
1308,Nongshim,Soon Veggie Noodle Soup,Pack,South Korea,5,2014,9
1271,Prima Taste,Singapore Chilli Crab La Mian,Pack,Singapore,5,2014,8
1350,Mamee,Chef Curry Laksa Flavour,Pack,Malaysia,5,2014,7
1183,Paldo,Cheese Noodle,Pack,South Korea,5,2014,6
1198,Samyang Foods,Maesaengyitangmyun Baked Noodle,Pack,South Korea,5,2014,5
1330,Sapporo Ichiban,Otafuku Okonomi Sauce Yakisoba,Tray,Japan,5,2014,4
1302,Mama,Instant Noodles Yentafo Tom Yum Mohfai Flavour,Pack,Thailand,5,2014,10
1087,MyKuali,Penang White Curry Noodle,Pack,Malaysia,5,2014,1
823,Paldo,Kokomen Spicy Chicken,Pack,South Korea,5,2013,9
31,Myojo,Ippeichan Yakisoba,Tray,Japan,4,2013,6
934,Nongshim,Jinjja Jinjja Flamin' Hot & Nutty,Pack,USA,5,2013,4
715,Indomie,Mi Goreng Rendang (Import),Pack,Indonesia,5,2013,3
991,Prima Taste,Singapore Curry La Mian,Pack,Singapore,5,2013,2
1471,Mama,Instant Noodles Shrimp Creamy Tom Yum Flavour Jumbo Pack,Pack,Thailand,5,2013,10
992,Prima Taste,Singapore Laksa La Mian,Pack,Singapore,5,2013,1
285,Doll,Artificial Chicken,Pack,Hong Kong,4.5,2012,9
578,Nongshim,Shin Ramyun Black,Pack,South Korea,4.75,2012,7
391,Myojo,Hyoubanya No Chukasoba Oriental,Pack,Japan,4.25,2012,6
434,Mi Sedaap,Kari Spesial,Pack,Indonesia,4.5,2012,5
13,Sapporo Ichiban,Chow Mein,Pack,Japan,5,2012,4
392,Nissin,Yakisoba Noodles Karashi,Tray,Japan,5,2012,3
47,Indomie,Mi Goreng Jumbo Barbecue Chicken,Pack,Indonesia,5,2012,2
608,Koka,Spicy Black Pepper,Pack,Singapore,5,2012,10
105,Indomie,Special Fried Curly Noodle,Pack,Indonesia,5,2012,1